time,value,
29.74146768,0.58300418,
29.76310288,0.572127674,
29.78583748,0.56106201,
29.80942919,0.56106201,
29.85174452,0.543470442,
29.87889571,0.561345745,
29.90006896,0.57572165,
29.92079813,0.574113818,
29.94651495,0.567871649,
29.97962334,0.551131286,
30.01076762,0.556427672,
30.0487384,0.571465625,
30.06962043,0.567115022,
30.09066504,0.553022853,
30.12365371,0.544794539,
30.15700279,0.562953576,
30.17915718,0.5728843,
30.20080694,0.577045746,
30.22270547,0.57174936,
30.24498092,0.565790926,
30.27835868,0.556238515,
30.30865316,0.567115022,
30.33620387,0.575248758,
30.37058305,0.577707794,
30.39833535,0.587449362,
30.43665509,0.58527406,
30.46920585,0.621213822,
30.5032299,0.628496353,
30.5390833,0.63937286,
30.5753685,0.643534306,
30.60756324,0.652613825,
30.64274684,0.680609008,
30.67225241,0.680798165,
30.70938098,0.674934309,
30.73889528,0.683824671,
30.76417577,0.688175274,
30.79471623,0.689499371,
30.83528054,0.690445154,
30.8660011,0.699240938,
30.89457208,0.699051781,
30.91827143,0.698957203,
30.94575706,0.686378286,
30.97954951,0.683824671,
31.0148885,0.691958407,
31.05815302,0.722318048,
31.09645576,0.744543954,
31.12815986,0.7487054,
31.16713965,0.753812629,
31.19844641,0.764594558,
31.23092948,0.766107811,
31.2659595,0.772160824,
31.29765177,0.780483716,
31.33224705,0.786252994,
31.36447866,0.80110179,
31.39984033,0.797034922,
31.43686232,0.805830706,
31.47157157,0.813396972,
31.50754697,0.81349155,
31.54311184,0.81576143,
31.57820202,0.819544563,
31.61766383,0.834204203,
31.65296263,0.837041552,
31.69028564,0.836474083,
31.72842002,0.838554806,
31.76419201,0.848580108,
31.80285192,0.853025289,
31.84006344,0.855673482,
31.87331804,0.875345772,
31.90860879,0.892275292,
31.94411146,0.907975293,
31.98024042,0.908921077,
32.01776552,0.919986741,
32.05785877,0.933511441,
32.08708134,0.942874694,
32.12069281,0.935024693,
32.1528304,0.938524091,
32.18395206,0.933511441,
32.21913454,0.920459632,
32.25090015,0.926607223,
32.28855487,0.928215054,
32.3232918,0.942969273,
32.35698388,0.947698188,
32.39371421,0.95044096,
32.42593093,0.9515759,
32.45642512,0.940037345,
32.49020394,0.929255416,
32.52404018,0.926796379,
32.55689958,0.923769873,
32.5924381,0.909772281,
32.62440864,0.90873192,
32.66257045,0.909393968,
32.7012716,0.909677703,
32.73811139,0.906462041,
32.77417646,0.901638546,
32.81087248,0.899084931,
32.84759226,0.900976497,
32.88180676,0.904854209,
32.91825102,0.910812643,
32.95149549,0.911853004,
32.98763001,0.901733125,
33.02027536,0.898328305,
33.05423745,0.896720473,
33.08429805,0.89861204,
33.11903302,0.889437943,
33.14584618,0.885938545,
33.17896134,0.879696375,
33.2094814,0.893315654,
33.23921481,0.879790954,
33.27315849,0.870900591,
33.30533003,0.867779507,
33.34185708,0.859362036,
33.37154372,0.849336734,
33.40870359,0.844324083,
33.44546009,0.855862638,
33.48081225,0.868914447,
33.51521174,0.875818664,
33.55007935,0.875724085,
33.57933063,0.88168252,
33.61117129,0.87213011,
33.64593834,0.868630712,
33.68195891,0.866077097,
33.71724921,0.862104808,
33.75559773,0.85576806,
33.78927873,0.850566252,
33.82250759,0.853119867,
33.86043457,0.85406565,
33.89405392,0.852552397,
33.92967104,0.851228301,
33.96823284,0.853876494,
34.00528536,0.851512035,
34.04549729,0.855389747,
34.0820735,0.862293964,
34.11820111,0.870806013,
34.15689518,0.869671073,
34.19293799,0.879318062,
34.22712165,0.883290351,
34.26317917,0.895112642,
34.29078753,0.887830111,
34.32591921,0.896531317,
34.36208998,0.899841558,
34.39897012,0.902773485,
34.43487666,0.900219871,
34.47022025,0.894734329,
34.50358197,0.895680112,
34.53839654,0.892559027,
34.57411689,0.895963847,
34.61372615,0.901354811,
34.65030151,0.90929939,
34.68813451,0.914879511,
34.72049914,0.915636138,
34.75639461,0.915352402,
34.79909811,0.92168915,
34.84224857,0.918473487,
34.8752272,0.913271679,
34.90976409,0.911947583,
34.94551265,0.908069872,
34.98018806,0.911853004,
35.01821241,0.916392764,
35.06001981,0.920932524,
35.09901615,0.918757222,
35.13565252,0.921027101,
35.17241997,0.918946379,
35.20939171,0.919135536,
35.2430197,0.913366258,
35.27274185,0.907407824,
35.3073376,0.909015655,
35.33281645,0.909110234,
35.36271083,0.891424087,
35.39516437,0.89520722,
35.42410933,0.891991557,
35.45885929,0.883763243,
35.48856926,0.88281746,
35.52262341,0.882344568,
35.55176771,0.884898183,
35.58591869,0.878088544,
35.61583375,0.874021676,
35.65097629,0.870995169,
35.6827037,0.869954809,
35.71530121,0.869954809,
35.74530886,0.877615652,
35.77061109,0.867779507,
35.8029335,0.856430108,
35.83810045,0.862672277,
35.87665396,0.855673482,
35.90786374,0.852268662,
35.94719465,0.849715047,
35.98412263,0.848674686,
36.01587351,0.84054095,
36.06035327,0.833542154,
36.09451176,0.834393359,
36.13059078,0.833731311,
36.16661633,0.837798179,
36.20338314,0.837041552,
36.2427244,0.83827107,
36.27471755,0.84281083,
36.31462048,0.847066854,
36.35142521,0.853971071,
36.38767573,0.8704277,
36.42232697,0.884992761,
36.45673743,0.895301798,
36.48984548,0.898801196,
36.5208049,0.903246377,
36.55539961,0.90362469,
36.58708084,0.903813847,
36.62477525,0.904759631,
36.65840104,0.91440662,
36.69444695,0.921499993,
36.72995026,0.92282409,
36.76535136,0.925850596,
36.80115951,0.940415658,
36.83615776,0.941172284,
